,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,15.0,30.0,15.0,30.0,45.54616895874263,103.08349705304519,1.038310412573674,57.45671905697444,7.365710990160807,34.72549019607843,90.13235294117646,0.8696078431372549,44.48088235294124,7.783954724834886,35.46786389413989,91.2117202268431,0.9017013232514177,45.599281663515974,7.683062865608342,30.89662447257384,85.72784810126582,0.8227848101265823,40.125822784810126,7.97306117484313,31.07471264367816,86.05842911877394,0.8362068965517241,40.449252873563225,7.938605326536108,3.0312654972076416,13.753979324254356
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,16.0,30.0,15.0,30.0,43.7009900990099,101.1059405940594,1.0188118811881188,55.4442475247525,7.350677179586719,33.801390268123136,89.16385302879841,0.8599801390268124,43.50760675273087,7.831660857973405,36.3810888252149,92.24928366762178,0.9035339063992359,46.62283667621778,7.593673187607513,30.445974576271187,85.19067796610169,0.8188559322033898,39.569915254237316,7.979556637363176,31.67248062015504,86.60852713178295,0.8217054263565892,40.98608527131787,7.912299611727342,2.9374964237213135,13.527921529156538
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,15.0,31.0,15.0,30.0,44.23673870333988,101.20530451866405,1.0166994106090372,55.56922396856581,7.33995375459615,32.62721893491124,87.82051282051282,0.8333333333333334,42.17602564102569,7.889084306784988,34.30105465004794,89.58676893576222,0.8638542665388304,43.967133269415136,7.751262369375065,29.90169133192389,84.44291754756871,0.8160676532769556,38.81165961945031,8.04199765302358,30.613899613899616,85.39189189189189,0.805984555984556,39.7649420849421,7.996019002587374,3.0625126361846924,11.652844970145619
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,15.0,30.0,14.0,30.0,43.48929961089494,100.48929961089495,1.0087548638132295,54.84379377431911,7.459183716264749,33.789783889980356,89.04813359528487,0.8654223968565815,43.39270137524559,7.80987361644449,34.08593012275732,89.42587346553353,0.8659112370160529,43.803220018885746,7.7801125477321955,30.304942166140904,84.98317560462671,0.8191377497371188,39.37313354363825,8.004164134085986,29.98761904761905,84.83333333333333,0.8247619047619048,39.22327619047619,7.9661556409569645,3.0312018394470215,11.716983810965905
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,15.0,30.0,15.0,31.0,47.60218253968254,105.65873015873017,1.0753968253968254,59.96740079365078,7.256405335036604,35.473267326732675,91.14851485148515,0.8831683168316832,45.50661386138612,7.772578381490133,37.89665071770335,93.85837320574163,0.9186602870813397,48.23015311004779,7.561948671309433,31.39936440677966,86.10063559322033,0.8273305084745762,40.47098516949154,7.964095462365752,32.062862669245646,87.1779497098646,0.8278529980657641,41.53916827853002,7.910714869859215,3.0624840259552,15.857355263686099
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,18.0,33.0,12.0,27.0,32.57351509250243,87.88218111002921,0.8529698149951315,42.226105160662144,7.776476069522841,27.949661181026137,82.31171345595354,0.7792836398838335,36.65176185866408,8.139478447602617,28.80921052631579,83.39567669172932,0.8007518796992481,37.79302631578948,8.01997289330319,26.02,80.22631578947369,0.748421052631579,34.61509473684208,8.288400312828212,27.934223069590086,82.27740705433746,0.7836034318398475,36.66477597712102,8.09221090214261,2.9062111377716064,2.5855815695057003
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,19.0,33.0,12.0,27.0,31.991176470588236,87.07549019607843,0.8411764705882353,41.44874509803925,7.7918197543953,26.62843137254902,80.85196078431373,0.7421568627450981,35.219892156862684,8.215618224941647,29.19106463878327,83.84410646387833,0.7975285171102662,38.229999999999954,7.975452268430942,26.67944621938232,80.95953141640042,0.7678381256656017,35.31856230031948,8.203319093794782,28.039461020211743,82.31568816169394,0.7690086621751684,36.69216554379209,8.099676782913086,2.890697717666626,2.4375831555214575
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,18.0,34.0,12.0,27.0,29.92458374142997,84.64250734573947,0.8041136141038198,39.00238001958859,7.974182479054875,26.227761485826,80.32844574780059,0.7360703812316716,34.69231671554256,8.272772061108428,29.010446343779677,83.6343779677113,0.7825261158594492,38.01724596391261,8.010960566206956,26.76326963906582,81.01486199575372,0.7707006369426752,35.37243099787685,8.203852615595444,27.315688161693938,81.51780558229066,0.7516843118383061,35.886669874879736,8.165026473019132,2.906402826309204,0.974011337889479
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,18.0,33.0,13.0,27.0,32.27886497064579,87.39138943248533,0.8444227005870841,41.757485322896265,7.782640393059025,26.904109589041095,81.11643835616438,0.7495107632093934,35.47619373776911,8.206597110926237,29.767552182163186,84.47153700189753,0.7998102466793169,38.862428842504656,7.944078310792614,27.029850746268657,81.34434968017058,0.767590618336887,35.687260127931744,8.177950991022607,28.309913378248314,82.68816169393648,0.7747834456207893,37.05566891241582,8.066263151601856,2.9062747955322266,3.0473153181261807
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,18.0,33.0,12.0,28.0,32.163405088062625,87.23287671232876,0.8434442270058709,41.61201565557736,7.800650566459492,26.680039138943247,80.92074363992172,0.7485322896281801,35.25363992172214,8.232331398664643,29.805899143672693,84.55280685061845,0.796384395813511,38.95353948620363,7.943243886359422,26.745744680851065,81.10744680851064,0.7659574468085106,35.452627659574446,8.205096550932378,27.710298363811358,81.9990375360924,0.7584215591915303,36.39390760346486,8.114543079939226,2.8446314334869385,2.5708513447840717
