,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,30,15,30,79.92435808466342,144.7494795281055,1.5281054823039555,88.4012630117974,6.390290567512061,88.12909836065573,154.04303278688525,1.6707650273224044,86.8495423497267,6.49126155119303,85.60645604395604,151.71978021978023,1.5803571428571428,88.76529532967041,6.424315868340638,77.49928774928775,142.29985754985756,1.5883190883190883,87.40471509971503,6.292957975288369,79.7712100139082,145.46036161335186,1.6404728789986092,82.90816411682893,6.435356759044383,4.093921899795532,82.18608205049424
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,13,30,15,30,73.81805651274983,138.24396967608547,1.4803583735354928,85.69968297725708,6.579061957742414,88.4099037138927,154.18294360385144,1.549518569463549,90.17707015130664,6.470755342673043,83.01863354037268,148.84057971014494,1.6300897170462387,89.96439613526556,6.416289687915014,77.35433070866142,143.14244810307804,1.5969935576234788,89.83268432355054,6.299261988553559,77.00486448922864,143.10354412786657,1.621264767199444,85.09422515635865,6.554872209062675,4.0000693798065186,79.92115779298105
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,28,15,30,84.72903672903674,150.15453915453915,1.5994455994455994,88.2227027027028,6.522911717960976,96.68989547038328,163.54076655052265,1.721254355400697,89.74057839721247,6.407609469823447,90.71438498957609,156.74079221681723,1.5684503127171647,89.24218902015295,6.447603311664932,86.66834895457822,153.99206921413122,1.7642393655371305,91.918622927181,6.19342539559103,85.36746143057503,150.57082748948108,1.5203366058906032,81.55181626928474,6.631358654506225,3.796759605407715,88.83382551482987
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,30,17,30,77.27045769764216,141.3245492371706,1.5090152565880721,85.56513176144234,6.515990812829507,89.6073407202216,155.21329639889197,1.6246537396121883,86.96673130193903,6.525473545794889,83.76544066620403,149.14295628036086,1.5947258848022208,86.61925052047194,6.5941136057688485,77.58363244795406,142.75879396984925,1.5427135678391959,85.49733668341723,6.325050038254745,77.21839887640449,141.43398876404495,1.4353932584269662,81.45007724719092,6.527335658081909,4.046867609024048,81.08905408168526
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,30,15,29,75.32290958531611,140.0509857239973,1.5064581917063222,85.44658055744388,6.467148774403341,88.32944406314344,154.55387783115992,1.6087851750171585,87.96053534660268,6.364517819269919,81.85395537525355,147.7998647734956,1.656524678837052,88.0236375929683,6.239926697735481,74.5471296952516,139.9652728561304,1.6158752657689581,86.07409638554228,6.278361024268486,72.39738292011019,137.67424242424244,1.534435261707989,79.33889807162521,6.540790561831713,3.8906338214874268,78.49016432781498
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,13,30,15,29,69.92587508579273,133.9073438572409,1.4824982841455046,83.23394646533973,6.628366979538793,85.8838004101162,151.93164730006836,1.557758031442242,89.04017771701982,6.466490485967099,76.99111414900888,142.7047163362953,1.6220095693779903,87.40937799043068,6.352838408501238,72.33641536273115,137.48221906116643,1.5867709815078237,86.55370554765301,6.346933374812687,71.51347615756738,137.60815480304078,1.6738078783690393,83.24290946786441,6.539772486621308,4.109284400939941,75.33013623304326
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,28,15,29,80.37854671280277,146.1432525951557,1.5660899653979239,87.70507958477513,6.429035196581838,91.5517955801105,157.60566298342542,1.6415745856353592,87.13890193370165,6.478311053814958,88.13130615065653,154.97442985487214,1.6143745680718729,89.66160331720798,6.298304989041593,83.45730824891461,150.0477568740955,1.6780028943560057,90.02330680173665,6.306161774728829,79.88849929873773,145.33730715287518,1.5610098176718092,80.32570126227203,6.578387427021448,3.937514543533325,84.68149119824443
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,30,14,29,70.8949522510232,135.24215552523876,1.4693042291950886,83.03584583901772,6.5527601177572,83.26279863481228,149.20819112627987,1.6354948805460752,85.50351535836182,6.395828272381149,83.54109589041096,149.64794520547946,1.6267123287671232,87.80452054794517,6.369181040470322,74.09129814550641,140.19115549215405,1.6405135520684737,88.15050641940071,6.276883425083153,71.33677685950413,136.72314049586777,1.5578512396694215,79.45735537190065,6.533067827509057,3.8906044960021973,76.62538435625139
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,30,15,27,68.5568413886998,132.2913546630361,1.4574540503744045,80.74815520762421,6.539847520524939,77.95485175202157,143.90835579514825,1.5929919137466306,82.88423854447441,6.432636511164989,75.44715447154472,141.51558265582656,1.6388888888888888,85.0712872628725,6.2751655795502925,68.78637331440738,133.277501774308,1.5436479772888574,83.24372604684181,6.31025455259606,69.54632807137955,135.11256005490733,1.606726149622512,78.4216678105697,6.473651533034161,4.06276273727417,72.05830979961061
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,14,30,15,27,69.81843003412969,133.94675767918088,1.416382252559727,82.95704436860072,6.5878105139989875,78.22297756628144,144.11964649898027,1.6383412644459552,84.8818354860637,6.42820286017772,77.05385139740967,143.03612815269258,1.6373551465576006,86.49032719836416,6.340873880818862,67.89387464387464,132.87108262108262,1.5954415954415955,83.84260683760684,6.343097541089951,71.34580734580734,137.987525987526,1.6153846153846154,82.27173943173943,6.440178623899664,3.9219303131103516,72.86698819750056
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,31,15,27,66.9245283018868,130.572102425876,1.4487870619946093,81.17329514824795,6.450717527591226,77.53243243243243,142.69864864864866,1.6243243243243244,83.72716216216207,6.33133748472834,71.2085020242915,136.7557354925776,1.6059379217273955,83.1458232118759,6.3575812407100605,65.51156271899089,129.41625788367205,1.5080588647512263,81.49390329362308,6.217427761084767,64.62542488103331,129.03263086335826,1.4819850441876274,76.3562746430999,6.563725587996506,3.890282154083252,69.160490071727
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,30,16,27,74.46462585034014,138.95374149659864,1.5333333333333334,84.21893877551022,6.431040561414392,81.1864406779661,146.9322033898305,1.6203389830508474,83.98210847457618,6.4268488616846,77.69173441734418,143.39634146341464,1.6233062330623307,85.11294715447156,6.356145075740133,74.2470007057163,139.89767113620326,1.688073394495413,86.10884968242765,6.15445101930547,70.86800276434002,136.49067035245335,1.5749827228749136,78.92076019350371,6.5700542209712625,3.9229214191436768,75.69156088314135
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15,30,15,28,71.89154160982265,136.03819918144612,1.5081855388813097,83.59740791268764,6.454714717195774,84.82501708817499,150.72043745727956,1.6814764183185236,86.27501708817493,6.337295917565952,79.70231607629428,145.99795640326977,1.6716621253405994,86.59371934604891,6.339926471165702,74.27994330262226,139.41672572643515,1.677533664068037,85.95403968816441,6.2287047732820735,72.24085576259489,137.1718426501035,1.4748102139406487,78.69968253968256,6.564002370865333,4.014549732208252,76.58793476790181
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,16,31,15,27,67.89008042895442,131.7955764075067,1.5301608579088473,81.37067694369972,6.441753874382723,76.22537112010797,141.8650472334683,1.5904183535762484,81.77031039136301,6.34918303213831,75.67826086956522,141.08160535117057,1.5698996655518396,85.59628762541811,6.241793791322851,66.054890921886,130.32090077410274,1.550316678395496,81.44250527797331,6.302405364010053,67.59658703071672,132.7085324232082,1.5351535836177475,77.20019795221839,6.476605617751089,3.9062860012054443,70.68903807424606
