,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15.0,30.0,15.0,30.0,23.069686411149824,75.8205574912892,0.710801393728223,30.62256097560976,8.67871569652252,21.394594594594594,73.74594594594595,0.654054054054054,28.541135135135157,8.951865753884487,23.222764227642276,75.75447154471544,0.6861788617886179,30.558552845528418,8.716817872153367,21.04022988505747,73.07471264367815,0.6475095785440613,27.977509578544048,9.02168863680436,22.01038062283737,74.5121107266436,0.7006920415224913,29.295916955017322,8.808827839950846,2.1718521118164062,22.14753114825631
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,16.0,30.0,15.0,30.0,23.047285464098074,75.60945709281961,0.6900175131348512,30.39306479859894,8.705703529487375,21.626151012891345,73.9134438305709,0.6574585635359116,28.759705340699842,8.923784062261682,22.17195325542571,74.58096828046745,0.667779632721202,29.37746243739565,8.837991751614764,21.27047619047619,73.69714285714285,0.660952380952381,28.572742857142863,8.940821235833738,23.309314586994727,75.97715289982425,0.7117750439367311,30.768611599297046,8.677296154245525,2.1404972076416016,22.28503610197721
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15.0,31.0,15.0,30.0,22.94764397905759,75.4694589877836,0.68760907504363,30.25085514834208,8.720997342788104,21.558823529411764,73.84007352941177,0.6544117647058824,28.709356617647046,8.944507598568373,21.980033277870216,74.28951747088186,0.6589018302828619,29.118019966722112,8.866672024223702,21.096958174904945,73.47338403041825,0.6615969581749049,28.352186311787086,8.96649300796201,23.035026269702275,75.64623467600701,0.7057793345008757,30.44404553415061,8.713575850938037,2.203239917755127,22.123697046189356
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15.0,30.0,14.0,30.0,23.568221070811745,76.34024179620035,0.7167530224525043,31.142314335060476,8.628223099920763,23.681159420289855,76.40036231884058,0.6920289855072463,31.214583333333316,8.657559292793604,23.302439024390242,75.94471544715446,0.6894308943089431,30.72518699186995,8.68356494225549,22.065009560229445,74.40726577437859,0.6730401529636711,29.330707456978974,8.834806802603257,20.65982905982906,73.21709401709401,0.6905982905982906,27.994735042735048,8.933546593036176,2.220343589782715,22.65533162711007
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15.0,30.0,15.0,31.0,23.61672473867596,76.20731707317073,0.7003484320557491,31.003972125435546,8.651622975717906,21.91176470588235,74.23897058823529,0.6617647058823529,29.092757352941184,8.914376465565235,22.10648918469218,74.44925124792013,0.6672212978369384,29.237237936772026,8.852467578530362,21.155893536121674,73.4467680608365,0.6615969581749049,28.34469581749048,8.973128187520372,23.276707530647986,75.87565674255691,0.7145359019264448,30.668774080560386,8.686044462607548,2.154679775238037,22.413515939204032
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,12.0,33.0,18.0,27.0,22.403478260869566,75.0904347826087,0.6921739130434783,29.916573913043464,8.785787484150578,20.61081081081081,72.82702702702703,0.6378378378378379,27.63005405405405,9.081360159499427,22.02922077922078,74.35227272727273,0.6704545454545454,29.155665584415612,8.891094219761422,20.296934865900383,72.20114942528735,0.6360153256704981,27.100574712643695,9.149405936546076,21.31896551724138,73.75862068965517,0.6948275862068966,28.541775862068985,8.909883968484776,2.20307993888855,21.331882046808584
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,13.0,33.0,18.0,27.0,22.55632582322357,74.97746967071058,0.6863084922010398,29.764679376083173,8.801318092386301,21.686238532110092,74.02935779816514,0.6495412844036698,28.877009174311922,8.935050476290026,21.42358803986711,73.60631229235881,0.6445182724252492,28.395182724252525,8.969934247323355,20.563327032136105,72.703213610586,0.6483931947069943,27.574480151228737,9.066047222615099,22.81184668989547,75.21428571428571,0.6881533101045296,30.025104529616755,8.784940352825316,2.18748140335083,21.80826522344647
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,12.0,34.0,18.0,27.0,22.188255613126078,74.56303972366149,0.6822107081174439,29.361416234887727,8.84608944424745,21.383912248628885,73.62157221206581,0.6489945155393053,28.451700182815387,8.982653807579139,21.185430463576157,73.34602649006622,0.6374172185430463,28.152814569536417,8.99743114675866,20.26843100189036,72.32703213610586,0.6427221172022685,27.220340264650275,9.118326855226512,22.621951219512194,75.01567944250871,0.6777003484320557,29.833083623693373,8.812108109246013,2.1252193450927734,21.529596109346734
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,12.0,33.0,19.0,27.0,22.265975820379964,74.65803108808291,0.6839378238341969,29.45252158894648,8.838357432898977,21.595978062157222,73.85374771480804,0.6508226691042047,28.688500914076776,8.9563433850601,21.25496688741722,73.44701986754967,0.6423841059602649,28.215711920529778,8.9845416610881,20.226843100189036,72.27977315689981,0.6408317580340265,27.167221172022703,9.122724541518753,22.646341463414632,75.09756097560975,0.681184668989547,29.902508710801406,8.801366184662268,2.1874096393585205,21.598021066711617
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,12.0,33.0,18.0,28.0,22.141868512110726,74.54671280276817,0.6799307958477508,29.338754325259526,8.842336854016068,21.423076923076923,73.70695970695971,0.6465201465201466,28.552875457875444,8.970318972452862,21.443708609271525,73.68708609271523,0.640728476821192,28.479453642384154,8.948603362950829,20.224952741020793,72.29111531190927,0.6351606805293005,27.17922495274102,9.114634205187485,22.527874564459932,74.99303135888502,0.6794425087108014,29.802282229965147,8.806338347983678,2.1408355236053467,21.55229626998798
